Z,Sym,Element,Origin of name,Group,Period
1,H,Hydrogen,the Greek 'hydro' and 'genes' meaning water-forming,1,1
2,He,Helium,the Greek 'helios' meaning sun,18,1
3,Li,Lithium,the Greek 'lithos' meaning stone,1,2
4,Be,Beryllium,"the Greek name for beryl, 'beryllo'",2,2
5,B,Boron,"the Arabic 'buraq', which was the name for borax",13,2
6,C,Carbon,"the Latin 'carbo', meaning charcoal",14,2
7,N,Nitrogen,the Greek 'nitron' and 'genes' meaning nitre-forming,15,2
8,O,Oxygen,the Greek 'oxy' and 'genes' meaning acid-forming,16,2
9,F,Fluorine,"the Latin 'fluere', meaning to flow",17,2
10,Ne,Neon,"the Greek 'neos', meaning new",18,2
11,Na,Sodium,the English word soda (natrium in Latin),1,3
12,Mg,Magnesium,"Magnesia, a district of Eastern Thessaly in Greece",2,3
13,Al,Aluminium,"the Latin name for alum, 'alumen' meaning bitter salt",13,3
14,Si,Silicon,"the Latin 'silex' or 'silicis', meaning flint",14,3
15,P,Phosphorus,"the Greek 'phosphoros', meaning bringer of light",15,3
16,S,Sulfur,"Either from the Sanskrit 'sulvere', or the Latin 'sulfurium', both names for sulfur",16,3
17,Cl,Chlorine,"the Greek 'chloros', meaning greenish yellow",17,3
18,Ar,Argon,"the Greek, 'argos', meaning idle",18,3
19,K,Potassium,the English word potash (kalium in Latin),1,4
20,Ca,Calcium,the Latin 'calx' meaning lime,2,4
21,Sc,Scandium,Scandinavia (with the Latin name Scandia),3,4
22,Ti,Titanium,"Titans, the sons of the Earth goddess of Greek mythology",4,4
23,V,Vanadium,"Vanadis, an old Norse name for the Scandinavian goddess Freyja",5,4
24,Cr,Chromium,"the Greek 'chroma', meaning colour",6,4
25,Mn,Manganese,"Either the Latin 'magnes', meaning magnet or from the black magnesium oxide, 'magnesia nigra'",7,4
